control_id,mapping_status,mapping_confidence,automatic_edit,conversion_status,parameter_id,role,engine_slot,condition,transform,legacy,mapping_notes
analog.oscillator_1.fm_switch,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_Osc1FM,value,engine_1,,,false,
analog.oscillator_1.fm_switch,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_Osc1FM,value,engine_2,,,false,
analog.oscillator_1.sync,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_HardSync,value,engine_1,,,false,
analog.oscillator_1.sync,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_HardSync,value,engine_2,,,false,
analog.oscillator_1.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine1_VA3Osc_Osc1Volume,value,engine_1,,,false,
analog.oscillator_1.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine2_VA3Osc_Osc1Volume,value,engine_2,,,false,
analog.oscillator_1.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine1_VA3Osc_Osc1Wave,value,engine_1,,,false,
analog.oscillator_1.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine2_VA3Osc_Osc1Wave,value,engine_2,,,false,
analog.oscillator_1.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_Osc1PulseWidth,value,engine_1,,,false,
analog.oscillator_1.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_Osc1PulseWidth,value,engine_2,,,false,
analog.oscillator_2.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_VA3Osc_Osc2Range,value,engine_1,,,false,
analog.oscillator_2.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_VA3Osc_Osc2Range,value,engine_2,,,false,
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc2Detune,semitone_value,engine_1,Fine display mode is semitones,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc2Detune,semitone_value,engine_2,Fine display mode is semitones,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc2FreqOffset,hertz_value,engine_1,Fine display mode is hertz,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc2FreqOffset,hertz_value,engine_2,Fine display mode is hertz,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc2FreqOffsetMode,mode,engine_1,,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc2FreqOffsetMode,mode,engine_2,,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_2.fm_amount,ambiguous_shared_parameter_candidate,medium,false,control_relationship_needs_diff,Engine1_VA3Osc_FMGain,value,engine_1,,,false,The archive exposes one VA3Osc_FMGain plus Osc1FM/Osc2FM switches; a one-control preset pair is needed to confirm the visible amount relationship.
analog.oscillator_2.fm_amount,ambiguous_shared_parameter_candidate,medium,false,control_relationship_needs_diff,Engine2_VA3Osc_FMGain,value,engine_2,,,false,The archive exposes one VA3Osc_FMGain plus Osc1FM/Osc2FM switches; a one-control preset pair is needed to confirm the visible amount relationship.
analog.oscillator_2.fm_switch,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_Osc2FM,value,engine_1,,,false,
analog.oscillator_2.fm_switch,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_Osc2FM,value,engine_2,,,false,
analog.oscillator_2.key_follower,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_Osc2Key,value,engine_1,,,false,
analog.oscillator_2.key_follower,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_Osc2Key,value,engine_2,,,false,
analog.oscillator_2.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine1_VA3Osc_Osc2Volume,value,engine_1,,,false,
analog.oscillator_2.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine2_VA3Osc_Osc2Volume,value,engine_2,,,false,
analog.oscillator_2.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine1_VA3Osc_Osc2Wave,value,engine_1,,,false,
analog.oscillator_2.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine2_VA3Osc_Osc2Wave,value,engine_2,,,false,
analog.oscillator_2.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_Osc2PulseWidth,value,engine_1,,,false,
analog.oscillator_2.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_Osc2PulseWidth,value,engine_2,,,false,
analog.oscillator_3.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_VA3Osc_Osc3Range,value,engine_1,,,false,
analog.oscillator_3.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_VA3Osc_Osc3Range,value,engine_2,,,false,
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc3Detune,semitone_value,engine_1,Fine display mode is semitones,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc3Detune,semitone_value,engine_2,Fine display mode is semitones,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc3FreqOffset,hertz_value,engine_1,Fine display mode is hertz,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc3FreqOffset,hertz_value,engine_2,Fine display mode is hertz,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine1_VA3Osc_Osc3FreqOffsetMode,mode,engine_1,,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.fine,conditional_multi_parameter_candidate,medium,false,dual_mode_requires_controlled_diff,Engine2_VA3Osc_Osc3FreqOffsetMode,mode,engine_2,,,false,"The visible dual-unit Fine control appears to use Detune, FreqOffset and FreqOffsetMode."
analog.oscillator_3.key_follower,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_Osc3Key,value,engine_1,,,false,
analog.oscillator_3.key_follower,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_Osc3Key,value,engine_2,,,false,
analog.oscillator_3.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine1_VA3Osc_Osc3Volume,value,engine_1,,,false,
analog.oscillator_3.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine2_VA3Osc_Osc3Volume,value,engine_2,,,false,
analog.oscillator_3.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine1_VA3Osc_Osc3Wave,value,engine_1,,,false,
analog.oscillator_3.wave_type,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine2_VA3Osc_Osc3Wave,value,engine_2,,,false,
analog.oscillator_3.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_Osc3PulseWidth,value,engine_1,,,false,
analog.oscillator_3.width,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_Osc3PulseWidth,value,engine_2,,,false,
analog.tune.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_VA3Osc_CoarseTune,value,engine_1,,,false,
analog.tune.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_VA3Osc_CoarseTune,value,engine_2,,,false,
analog.tune.drift,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_PitchDriftST,value,engine_1,,,false,
analog.tune.drift,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_PitchDriftST,value,engine_2,,,false,
analog.tune.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_VA3Osc_FineTune,value,engine_1,,,false,
analog.tune.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_VA3Osc_FineTune,value,engine_2,,,false,
analog.tune.keyboard_tracking,high_confidence_name_match,high,true,binary,Engine1_VA3Osc_KeyTrack,value,engine_1,,,false,
analog.tune.keyboard_tracking,high_confidence_name_match,high,true,binary,Engine2_VA3Osc_KeyTrack,value,engine_2,,,false,
analog.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_VA3Osc_Quantize,enabled,engine_1,,,false,
analog.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_VA3Osc_Quantize,enabled,engine_2,,,false,
analog.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_VA3Osc_Scale,scale_or_root,engine_1,,,false,
analog.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_VA3Osc_Scale,scale_or_root,engine_2,,,false,
analog.unison.detune,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_Unison_Detune,value,engine_1,,,false,
analog.unison.detune,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_Unison_Detune,value,engine_2,,,false,
analog.unison.stereo,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_VA3Osc_Unison_Stereo,value,engine_1,,,false,
analog.unison.stereo,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_VA3Osc_Unison_Stereo,value,engine_2,,,false,
analog.unison.voices,high_confidence_with_legacy_id,high,false,stepped_voice_curve_needs_calibration,Engine1_VA3Osc_UnisonVoices,value,engine_1,,,false,Both current and legacy voice-count spellings occur in the imported archives.
analog.unison.voices,high_confidence_with_legacy_id,high,false,stepped_voice_curve_needs_calibration,Engine2_VA3Osc_UnisonVoices,value,engine_2,,,false,Both current and legacy voice-count spellings occur in the imported archives.
analog.unison.voices,high_confidence_with_legacy_id,high,false,stepped_voice_curve_needs_calibration,Engine1_VA3Osc_Unison_Voices,value,engine_1,,,true,Both current and legacy voice-count spellings occur in the imported archives.
analog.unison.voices,high_confidence_with_legacy_id,high,false,stepped_voice_curve_needs_calibration,Engine2_VA3Osc_Unison_Voices,value,engine_2,,,true,Both current and legacy voice-count spellings occur in the imported archives.
common.engine.enabled,confirmed_inverse_semantics,high,false,inverted_boolean,Engine1_Bypass,value,engine_1,,invert_boolean,false,Pigments stores Bypass; the visible Power state has inverse semantics. The current compiler does not expose an inverted UI alias.
common.engine.enabled,confirmed_inverse_semantics,high,false,inverted_boolean,Engine2_Bypass,value,engine_2,,invert_boolean,false,Pigments stores Bypass; the visible Power state has inverse semantics. The current compiler does not expose an inverted UI alias.
common.engine_output.filter_mix,platform_verified,high,true,normalized_linear,FilterMix_Engine1FilterMix,value,engine_1,,,false,
common.engine_output.filter_mix,platform_verified,high,true,normalized_linear,FilterMix_Engine2FilterMix,value,engine_2,,,false,
common.engine_output.filter_mix,platform_verified,high,true,normalized_linear,FilterMix_UtilitySOFilterMix,utility_oscillator,utility_engine,,,false,
common.engine_output.filter_mix,platform_verified,high,true,normalized_linear,FilterMix_UtilityN1FilterMix,utility_noise_1,utility_engine,,,false,
common.engine_output.filter_mix,platform_verified,high,true,normalized_linear,FilterMix_UtilityN2FilterMix,utility_noise_2,utility_engine,,,false,
common.engine_output.volume,platform_verified,high,true,display_db_linear_approximation,FilterMix_Engine1Volume,value,engine_1,,,false,
common.engine_output.volume,platform_verified,high,true,display_db_linear_approximation,FilterMix_Engine2Volume,value,engine_2,,,false,
common.engine_output.volume,platform_verified,high,true,display_db_linear_approximation,FilterMix_UtilitySOVolume,utility_oscillator,utility_engine,,,false,
common.engine_output.volume,platform_verified,high,true,display_db_linear_approximation,FilterMix_UtilityN1Volume,utility_noise_1,utility_engine,,,false,
common.engine_output.volume,platform_verified,high,true,display_db_linear_approximation,FilterMix_UtilityN2Volume,utility_noise_2,utility_engine,,,false,
wavetable.freq_ring_mod.amount,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_FMAmount,value,engine_1,,,false,
wavetable.freq_ring_mod.amount,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_FMAmount,value,engine_2,,,false,
wavetable.freq_ring_mod.type,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine1_WTOsc_FMType,value,engine_1,,,false,
wavetable.freq_ring_mod.type,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine2_WTOsc_FMType,value,engine_2,,,false,
wavetable.modulator.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_WTOsc_ModOscFine,value,engine_1,,,false,
wavetable.modulator.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_WTOsc_ModOscFine,value,engine_2,,,false,
wavetable.modulator.source,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine1_CrossModSource,value,engine_1,,,false,
wavetable.modulator.source,high_confidence_enum_candidate,high,false,enum_values_need_controlled_diff,Engine2_CrossModSource,value,engine_2,,,false,
wavetable.modulator.tune,high_confidence_ratio_candidate,high,false,ratio_curve_needs_controlled_diff,Engine1_WTOsc_ModOscRatio,value,engine_1,,,false,
wavetable.modulator.tune,high_confidence_ratio_candidate,high,false,ratio_curve_needs_controlled_diff,Engine2_WTOsc_ModOscRatio,value,engine_2,,,false,
wavetable.modulator.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine1_WTOsc_ModOscVolume,value,engine_1,,,false,
wavetable.modulator.volume,high_confidence_name_match,high,true,display_db_curve_unverified,Engine2_WTOsc_ModOscVolume,value,engine_2,,,false,
wavetable.modulator.wave,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine1_WTOsc_ModOscWf,value,engine_1,,,false,
wavetable.modulator.wave,high_confidence_enum_candidate,high,false,wave_enum_values_need_controlled_diff,Engine2_WTOsc_ModOscWf,value,engine_2,,,false,
wavetable.phase_mod.amount,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_PMAmount,value,engine_1,,,false,
wavetable.phase_mod.amount,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_PMAmount,value,engine_2,,,false,
wavetable.phase_mod.phase,platform_verified,high,true,normalized_to_degrees,Engine1_WTOsc_Phase,value,engine_1,,,false,
wavetable.phase_mod.phase,platform_verified,high,true,normalized_to_degrees,Engine2_WTOsc_Phase,value,engine_2,,,false,
wavetable.phase_mod.retrig,high_confidence_enum_candidate,high,false,retrig_enum_values_need_controlled_diff,Engine1_WTOsc_Sync,value,engine_1,,,false,
wavetable.phase_mod.retrig,high_confidence_enum_candidate,high,false,retrig_enum_values_need_controlled_diff,Engine2_WTOsc_Sync,value,engine_2,,,false,
wavetable.phase_transform.amount,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_PhaseDist,value,engine_1,,,false,
wavetable.phase_transform.amount,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_PhaseDist,value,engine_2,,,false,
wavetable.phase_transform.mod_amount,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_WTOsc_PDAmount,value,engine_1,,,false,
wavetable.phase_transform.mod_amount,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_WTOsc_PDAmount,value,engine_2,,,false,
wavetable.phase_transform.type,high_confidence_enum_candidate,high,false,phase_transform_enum_values_need_controlled_diff,Engine1_WTOsc_PDSourceIndex,value,engine_1,,,false,Observed values are discrete and align with the selector role; a complete option calibration is still required.
wavetable.phase_transform.type,high_confidence_enum_candidate,high,false,phase_transform_enum_values_need_controlled_diff,Engine2_WTOsc_PDSourceIndex,value,engine_2,,,false,Observed values are discrete and align with the selector role; a complete option calibration is still required.
wavetable.tune.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_WTOsc_Coarse,value,engine_1,,,false,
wavetable.tune.coarse,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_WTOsc_Coarse,value,engine_2,,,false,
wavetable.tune.drift,unmapped_no_wavetable_specific_id,low,false,unknown,,,,,,false,The imported inventory exposes Analog PitchDriftST but no clear WTOsc drift ID.
wavetable.tune.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine1_WTOsc_Fine,value,engine_1,,,false,
wavetable.tune.fine,high_confidence_name_match,high,true,ui_semitone_curve_unverified,Engine2_WTOsc_Fine,value,engine_2,,,false,
wavetable.tune.keyboard_tracking,high_confidence_name_match,high,true,binary,Engine1_WTOsc_KeyTrack,value,engine_1,,,false,
wavetable.tune.keyboard_tracking,high_confidence_name_match,high,true,binary,Engine2_WTOsc_KeyTrack,value,engine_2,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_WTOsc_Quantize,enabled,engine_1,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_WTOsc_Quantize,enabled,engine_2,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_WTOsc_Scale,scale,engine_1,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_WTOsc_Scale,scale,engine_2,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_WTOsc_Scales_RootNote,root_note,engine_1,,,false,
wavetable.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_WTOsc_Scales_RootNote,root_note,engine_2,,,false,
wavetable.unison.detune,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_UnisonDetune,value,engine_1,,,false,
wavetable.unison.detune,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_UnisonDetune,value,engine_2,,,false,
wavetable.unison.phase,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_WTOsc_Unison_PhaseControl,value,engine_1,,,false,
wavetable.unison.phase,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_WTOsc_Unison_PhaseControl,value,engine_2,,,false,
wavetable.unison.stereo,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_UnisonStereo,value,engine_1,,,false,
wavetable.unison.stereo,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_UnisonStereo,value,engine_2,,,false,
wavetable.unison.voices,high_confidence_stepped_candidate,high,false,voice_count_curve_needs_controlled_diff,Engine1_WTOsc_UnisonVoices,value,engine_1,,,false,
wavetable.unison.voices,high_confidence_stepped_candidate,high,false,voice_count_curve_needs_controlled_diff,Engine2_WTOsc_UnisonVoices,value,engine_2,,,false,
wavetable.wave.morph,high_confidence_name_match,high,true,binary,Engine1_WTOsc_Morph,value,engine_1,,,false,
wavetable.wave.morph,high_confidence_name_match,high,true,binary,Engine2_WTOsc_Morph,value,engine_2,,,false,
wavetable.wave.position,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_FrameIndex,value,engine_1,,,false,
wavetable.wave.position,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_FrameIndex,value,engine_2,,,false,
wavetable.wave.view_mode,ui_state_not_confirmed_in_preset,low,false,not_a_safe_preset_parameter,,,,,,false,
wavetable.wave.volume,platform_verified,high,true,display_db_curve_unverified,Engine1_WTOsc_MainVolume,value,engine_1,,,false,
wavetable.wave.volume,platform_verified,high,true,display_db_curve_unverified,Engine2_WTOsc_MainVolume,value,engine_2,,,false,
wavetable.wave.wavetable_select,serialized_object_mapping_required,high,false,asset_object_not_numeric,,,,,,false,"Wavetable choice is represented in the serialized object layer, not as a safely calibrated numeric selector."
wavetable.wavefolding.fold,platform_verified,high,true,normalized_curve_unverified,Engine1_WTOsc_Fold,value,engine_1,,,false,
wavetable.wavefolding.fold,platform_verified,high,true,normalized_curve_unverified,Engine2_WTOsc_Fold,value,engine_2,,,false,
wavetable.wavefolding.mod_amount,high_confidence_name_match,high,true,normalized_curve_unverified,Engine1_WTOsc_FoldAmount,value,engine_1,,,false,
wavetable.wavefolding.mod_amount,high_confidence_name_match,high,true,normalized_curve_unverified,Engine2_WTOsc_FoldAmount,value,engine_2,,,false,
wavetable.wavefolding.shape,high_confidence_enum_candidate,high,false,fold_shape_enum_values_need_controlled_diff,Engine1_WTOsc_FoldSourceIndex,value,engine_1,,,false,
wavetable.wavefolding.shape,high_confidence_enum_candidate,high,false,fold_shape_enum_values_need_controlled_diff,Engine2_WTOsc_FoldSourceIndex,value,engine_2,,,false,
sample.tune.keyboard_tracking,platform_verified,high,true,binary,Engine1_SampleGranularOsc_KeyTrack,value,engine_1,,,false,
sample.tune.keyboard_tracking,platform_verified,high,true,binary,Engine2_SampleGranularOsc_KeyTrack,value,engine_2,,,false,
sample.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_SampleGranularOsc_Quantize,enabled,engine_1,,,false,
sample.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_SampleGranularOsc_Quantize,enabled,engine_2,,,false,
sample.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine1_SampleGranularOsc_Scale,scale_or_root,engine_1,,,false,
sample.tune.q,conditional_multi_parameter_candidate,medium,false,pitch_class_mapping_needs_controlled_diff,Engine2_SampleGranularOsc_Scale,scale_or_root,engine_2,,,false,
sample.tune.coarse,platform_verified,high,true,ui_semitone_linear_approximation,Engine1_SampleGranularOsc_Coarse,value,engine_1,,,false,
sample.tune.coarse,platform_verified,high,true,ui_semitone_linear_approximation,Engine2_SampleGranularOsc_Coarse,value,engine_2,,,false,
sample.tune.fine,platform_verified,high,true,ui_semitone_linear_approximation,Engine1_SampleGranularOsc_Fine,value,engine_1,,,false,
sample.tune.fine,platform_verified,high,true,ui_semitone_linear_approximation,Engine2_SampleGranularOsc_Fine,value,engine_2,,,false,
sample.tune.filter,platform_verified,high,true,normalized_bipolar,Engine1_SampleGranularOsc_Filter,value,engine_1,,,false,
sample.tune.filter,platform_verified,high,true,normalized_bipolar,Engine2_SampleGranularOsc_Filter,value,engine_2,,,false,
sample.shaper.mode,platform_verified,high,true,known_enum,Engine1_SampleGranularOsc_Effect Type,value,engine_1,,,false,
sample.shaper.mode,platform_verified,high,true,known_enum,Engine2_SampleGranularOsc_Effect Type,value,engine_2,,,false,
sample.shaper.enabled,platform_verified,high,true,binary,Engine1_SampleGranularOsc_Enable Effect,value,engine_1,,,false,
sample.shaper.enabled,platform_verified,high,true,binary,Engine2_SampleGranularOsc_Enable Effect,value,engine_2,,,false,
sample.shaper.bitcrush.decimate,platform_verified,high,true,normalized_curve_unverified,Engine1_SampleGranularOsc_BitCrushDecimate,value,engine_1,,,false,
sample.shaper.bitcrush.decimate,platform_verified,high,true,normalized_curve_unverified,Engine2_SampleGranularOsc_BitCrushDecimate,value,engine_2,,,false,
sample.shaper.bitcrush.decimate_mode,platform_verified,high,false,binary_enum_direction_needs_audition,Engine1_SampleGranularOsc_BitCrushMode,value,engine_1,,,false,
sample.shaper.bitcrush.decimate_mode,platform_verified,high,false,binary_enum_direction_needs_audition,Engine2_SampleGranularOsc_BitCrushMode,value,engine_2,,,false,
sample.shaper.bitcrush.bit_depth,platform_verified,high,true,reverse_linear_approximation,Engine1_SampleGranularOsc_BitCrushBitDepth,value,engine_1,,,false,
sample.shaper.bitcrush.bit_depth,platform_verified,high,true,reverse_linear_approximation,Engine2_SampleGranularOsc_BitCrushBitDepth,value,engine_2,,,false,
sample.shaper.bitcrush.key_track,platform_verified,high,true,binary,Engine1_SampleGranularOsc_BitCrushPitchFollow,value,engine_1,,,false,
sample.shaper.bitcrush.key_track,platform_verified,high,true,binary,Engine2_SampleGranularOsc_BitCrushPitchFollow,value,engine_2,,,false,
sample.browser.sample_select,serialized_audio_object_mapping_required,high,false,asset_object_not_numeric,,,,,,false,
sample.viewer.mode,ui_state_not_confirmed_in_preset,low,false,not_a_safe_preset_parameter,,,,,,false,
sample.viewer.timeline_ruler,display_only,high,false,not_a_preset_parameter,,,,,,false,
sample.viewer.active_slot,candidate_requires_controlled_diff,medium,false,slot_enum_values_need_controlled_diff,Engine1_SampleGranularOsc_SamplePick,active_slot,engine_1,,,false,
sample.viewer.active_slot,candidate_requires_controlled_diff,medium,false,slot_enum_values_need_controlled_diff,Engine2_SampleGranularOsc_SamplePick,active_slot,engine_2,,,false,
sample.viewer.active_slot,candidate_requires_controlled_diff,medium,false,slot_enum_values_need_controlled_diff,Engine1_SampleGranularOsc_SinglePick,selection_mode,engine_1,,,false,
